Temperature (°C),Density ρ (kg/m³),Dynamic Viscosity μ (mPa·s),Kinematic Viscosity ν (mm²/s)
0,999.84,1.7914,1.7917
1,999.90,1.7313,1.7315
2,999.94,1.6735,1.6736
3,999.96,1.6188,1.6188
4,999.97,1.5673,1.5673
5,999.96,1.5182,1.5183
6,999.94,1.4715,1.4716
7,999.90,1.4271,1.4272
8,999.85,1.3847,1.3849
9,999.78,1.3444,1.3446
10,999.70,1.3059,1.3062
11,999.61,1.2692,1.2695
12,999.50,1.2340,1.2344
13,999.38,1.2005,1.2009
14,999.24,1.1683,1.1688
15,999.10,1.1375,1.1380
16,998.94,1.1081,1.1086
17,998.77,1.0798,1.0804
18,998.60,1.0526,1.0532
19,998.41,1.0266,1.0272
20,998.21,1.0016,1.0023
21,998.00,0.9775,0.9783
22,997.77,0.9544,0.9552
23,997.54,0.9321,0.9330
24,997.30,0.9107,0.9116
25,997.05,0.8900,0.8910
26,996.79,0.8701,0.8711
27,996.52,0.8509,0.8520
28,996.24,0.8324,0.8335
29,995.95,0.8145,0.8157
30,995.65,0.7972,0.7985
31,995.34,0.7805,0.7818
32,995.03,0.7644,0.7657
33,994.70,0.7488,0.7502
34,994.37,0.7337,0.7351
35,994.03,0.7191,0.7206
36,993.68,0.7050,0.7065
37,993.33,0.6913,0.6929
38,992.97,0.6780,0.6797
39,992.59,0.6652,0.6669
40,992.22,0.6527,0.6579
41,991.83,0.6407,0.6460
42,991.44,0.6291,0.6344
43,991.04,0.6178,0.6233
44,990.63,0.6068,0.6125
45,990.21,0.5963,0.6022
46,989.79,0.5860,0.5921
47,989.37,0.5761,0.5823
48,988.93,0.5665,0.5728
49,988.49,0.5572,0.5637
50,988.04,0.5482,0.5548
51,987.59,0.5395,0.5462
52,987.13,0.5311,0.5380
53,986.66,0.5229,0.5299
54,986.19,0.5150,0.5222
55,985.71,0.5073,0.5146
56,985.23,0.4999,0.5073
57,984.74,0.4927,0.5002
58,984.24,0.4857,0.4934
59,983.74,0.4789,0.4868
60,983.23,0.4724,0.4804
61,982.72,0.4660,0.4742
62,982.20,0.4599,0.4683
63,981.67,0.4539,0.4625
64,981.14,0.4481,0.4567
65,980.60,0.4424,0.4512
66,980.06,0.4369,0.4458
67,979.51,0.4316,0.4407
68,978.96,0.4264,0.4356
69,978.40,0.4213,0.4306
70,977.84,0.4164,0.4258
71,977.27,0.4116,0.4212
72,976.70,0.4070,0.4167
73,976.12,0.4025,0.4123
74,975.53,0.3981,0.4081
75,974.94,0.3938,0.4039
76,974.35,0.3897,0.3999
77,973.75,0.3856,0.3960
78,973.14,0.3817,0.3922
79,972.53,0.3779,0.3885
80,971.91,0.3742,0.3849
81,971.29,0.3706,0.3815
82,970.67,0.3671,0.3781
83,970.04,0.3637,0.3749
84,969.40,0.3604,0.3717
85,968.76,0.3572,0.3687
86,968.12,0.3540,0.3657
87,967.47,0.3510,0.3629
88,966.82,0.3480,0.3600
89,966.16,0.3451,0.3572
90,965.50,0.3422,0.3544
91,964.83,0.3395,0.3519
92,964.16,0.3368,0.3493
93,963.48,0.3341,0.3467
94,962.80,0.3315,0.3443
95,962.12,0.3290,0.3419
96,961.43,0.3265,0.3396
97,960.74,0.3241,0.3374
98,960.04,0.3217,0.3351
99,959.34,0.3194,0.3329
100,958.63,0.3171,0.3308
